College Name,URL,Acceptance Rate,Regular Application Due,SAT Range,ACT Range,High School GPA,High School Rank,SAT/ACT Scores,Recommendations,Application Fee,Application Types Accepted,Graduation Rate,Majors Available,Student to Faculty Ratio,Retention Rate,Majors and Degrees,Setting,Undergraduate Students,Average per Year for Campus Housing,Sports,First Years in College Housing,Housing Options,Activities,Student Body
California State University Dominguez Hills,https://bigfuture.collegeboard.org/colleges/california-state-university-dominguez-hills,89%,Not available,790–930*,15–15*,Considered but not required,Neither required nor recommended,Not available,Neither required nor recommended,,,53%,79,,71%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Suburban,"13,318",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingSpecial Housing For Disabled Students,Army ROTCChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students13,318Total Graduate Students1,714Full-Time Students9,989Part-Time Students3,435Race and EthnicityBlack or African American11%Asian7%Hispanic or Latino68%Multiracial2%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White5%International (Non-Citizen)4%Student Primary ResidenceOut-of-StateNot Reported"
California State University Stanislaus,https://bigfuture.collegeboard.org/colleges/california-state-university-stanislaus,93%,Not available,900–1080*,15–20*,Required,Recommended,Required for some,Neither required nor recommended,,Online through college's own website,58%,46,,81%,"The college offers the following degrees: Bachelor's, Master's, Certificate, and Doctoral",Suburban,"8,836",,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme Housing,Campus MinistriesChoral GroupsDrama/TheaterFilmInternational Student OrganizationLiterary MagazineModel UNMusic EnsemblesOperaRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students8,836Total Graduate Students1,228Full-Time Students6,938Part-Time Students1,969Race and EthnicityBlack or African American2%Asian9%Hispanic or Latino63%Multiracial2%Native AmericanLess than 1%Pacific Islander1%Unknown4%White18%International (Non-Citizen)1%Student Primary ResidenceOut-of-State1%"
Bossier Parish Community College,https://bigfuture.collegeboard.org/colleges/bossier-parish-community-college,98%,Not available,400–500*,15–20*,Neither required nor recommended,Neither required nor recommended,Not available,Neither required nor recommended,,Online through college's own website,Not available,44,,15%,The college offers the following degrees: Certificate and Associate,Suburban,"5,570",,"Club, Intercollegiate and Intramural",,,Campus MinistriesConcert BandDanceDrama/TheaterFilmInternational Student OrganizationLiterary MagazineMusic EnsemblesMusical TheaterStudent Government,"Total Undergrad Students5,570Total Graduate StudentsNot availableFull-Time Students3,282Part-Time Students2,296Race and EthnicityBlack or African American41%AsianLess than 1%Hispanic or Latino2%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White50%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State3%"
Marshall University,https://bigfuture.collegeboard.org/colleges/marshall-university,96%,Not available,930–1150*,Not available*,Required,Neither required nor recommended,Required,Considered but not required,,Online through college's own websiteCommon Application,53%,81,,78%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Urban,"7,158",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Coed HousingSpecial Housing For Disabled StudentsTheme HousingWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students7,158Total Graduate Students3,017Full-Time Students6,539Part-Time Students1,675Race and EthnicityBlack or African American6%Asian2%Hispanic or Latino3%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown7%White78%International (Non-Citizen)1%Student Primary ResidenceOut-of-State22%"
Brigham Young University Idaho,https://bigfuture.collegeboard.org/colleges/brigham-young-university-idaho,97%,Not available,990–1200*,Not available*,Recommended,Neither required nor recommended,Required,Required,,Online through college's own website,46%,161,,67%,The college offers the following degrees: Associate and Bachelor's,Rural,Not available,,Intramural,,Apartments For Married StudentsApartments For Single StudentsSpecial Housing For Disabled StudentsWellness Housing (alcohol/drug/smoke-free),Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterOperaRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time Students18,332Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported"
University Of Maine At Presque Isle,https://bigfuture.collegeboard.org/colleges/university-of-maine-at-presque-isle,100%,Not available,840–1140*,Not available*,Recommended,Considered but not required,Considered if submitted,Recommended,,Online through college's own websiteCommon Application,35%,28,,67%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Rural,983,,"Club, Intercollegiate, Intramural and NCAA Division III",,Coed HousingSpecial Housing For Disabled Students,Campus MinistriesChoral GroupsDanceInternational Student OrganizationLiterary MagazineRadio StationStudent GovernmentStudent Newspaper,Total Undergrad Students983Total Graduate Students17Full-Time Students743Part-Time Students783Race and EthnicityBlack or African American3%Asian1%Hispanic or Latino4%Multiracial4%Native American1%Pacific IslanderLess than 1%Unknown3%White77%International (Non-Citizen)7%Student Primary ResidenceOut-of-State18%
Wright State University Lake Campus,https://bigfuture.collegeboard.org/colleges/wright-state-university-lake-campus,100%,Not available,790–890*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,,33%,119,,65%,"The college offers the following degrees: Certificate, Associate, and Bachelor's",Rural,984,,Intercollegiate,,Apartments For Single StudentsCoed Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsModel UNMusic EnsemblesStudent Newspaper,Total Undergrad Students984Total Graduate Students9Full-Time Students657Part-Time Students728Race and EthnicityBlack or African American5%Asian1%Hispanic or Latino2%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White88%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State1%
Baptist College Of Florida,https://bigfuture.collegeboard.org/colleges/baptist-college-of-florida,94%,August 12,920–1260*,17–23*,Recommended,Neither required nor recommended,Required,Required,,Online through college's own website,53%,13,,77%,"The college offers the following degrees: Associate, Bachelor's, Master's, and Certificate",Rural,239,,Intramural,,Apartments For Married StudentsMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Campus MinistriesChoral GroupsConcert BandJazz BandMusic Ensembles,Total Undergrad Students239Total Graduate Students29Full-Time Students186Part-Time Students208Race and EthnicityBlack or African American7%Asian3%Hispanic or Latino2%Multiracial4%Native American1%Pacific IslanderLess than 1%Unknown9%White75%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State29%
Northeastern State University,https://bigfuture.collegeboard.org/colleges/northeastern-state-university,99%,Not available,878–1085*,Not available*,Required,Required,Required,Neither required nor recommended,,Online through college's own website,39%,71,,63%,"The college offers the following degrees: Certificate, Master's, Bachelor's, and Doctoral",Rural,"4,896",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsTheme HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterNaval ROTCPep BandStudent GovernmentSymphony OrchestraTelevision Station,"Total Undergrad Students4,896Total Graduate Students1,413Full-Time Students3,561Part-Time Students1,424Race and EthnicityBlack or African American4%Asian2%Hispanic or Latino8%Multiracial15%Native American23%Pacific IslanderLess than 1%Unknown2%White43%International (Non-Citizen)2%Student Primary ResidenceOut-of-State5%"
University Of Puerto Rico Aguadilla,https://bigfuture.collegeboard.org/colleges/university-of-puerto-rico-aguadilla,82%,Not available,868–1078*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Other,43%,32,,76%,"The college offers the following degrees: Associate, Bachelor's, and Certificate",Suburban,"1,851",,Intercollegiate and Intramural,,,Army ROTCCampus MinistriesChoral GroupsDanceMusical TheaterPep Band,"Total Undergrad Students1,851Total Graduate Students1,898Full-Time Students484Part-Time Students128Race and EthnicityBlack or African AmericanLess than 1%AsianNot ReportedHispanic or Latino98%Multiracial1%Native AmericanNot ReportedPacific IslanderLess than 1%UnknownLess than 1%White1%International (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported"
